اسم السوبر ماركت,فترة سريان العرض,الفرع / الموقع,تاريخ تعديل ملف الفلاير,الفئة,اسم العلامة التجارية,اسم المنتج (الأساسي),الاسم بالعربية,العبارة الترويجية,الوحدة,السعر الأصلي,السعر الحالي,الخصم %,العملة,قيود العرض,اسم ملف الفلاير,اسم المجلد الفرعي,السعر المحسوب,__source_file__,solution_key,الفئة_الأصلية,الفئة_الجديدة,source_file,Unnamed: 23,,#CALC!,#N/A
أسواق فتح الله,,,1/16/2026,أطعمة- شيكولاتة وحلويات,lol surprise,lol surprise marshmallow,لول / بوبونترول 43جم جيلي / مارشميلو,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,جم,16,10,37,جنيه,,page_36.jpg,flyer_8585,9.92,merged_cleansed_output.xlsx,8585,Confectionery,أطعمة- شيكولاتة وحلويات,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,1/15/2026,مستلزمات منزلية,منترا,lotus dish,منترا طبق لوتس ألوان 7 بوصة,ألوان offer أسواق فتح الله الفئة مستلزمات منزلية offer أسواق فتح الله,7 بوصة,17,10,41,جنيه,,SIM90_F2_flyer_8585_page_62.jpg,,10.03,merged_cleansed_output.xlsx,8585,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,1/14/2026,أطعمة -مكرونة,el matbakh,rings pasta,المطبخ مكرونة 400 جم,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,400 جم,14,10.25,26,جنيه,,page_23.jpg,flyer_8585,10.78,merged_cleansed_output.xlsx,8585,Pasta,أطعمة -مكرونة,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,1/15/2026 13:33,أطعمة- شيكولاتة وحلويات,larch,larch melt molten cake,لارش ميلت مولتن كيك,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,عبوة,120,100,16,جنيه,,page_35.jpg,flyer_8585,99.6,merged_cleansed_output.xlsx,8585,Confectionery,أطعمة- شيكولاتة وحلويات,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,1/16/2026,العناية الشخصية,fogg,fogg master fragrance body spray oak,فوج اسبراي 200مل,offer أسواق فتح الله الفئة العناية الشخصية offer أسواق فتح الله offer أسواق فتح الله,ml,125,100,20,جنيه,,20251225_F1_flyer_8726_page_53.jpg,,100,merged_cleansed_output.xlsx,8726,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/26/2025 15:48,أدوات تنظيف,maxell,maxell toilet cleaner 700ml (2 bottles),ماكسيل منظف تواليت 700 مل 2 ق,offer أسواق فتح الله الفئة أدوات تنظيف offer أسواق فتح الله,مل,126,100,20,جنيه,,SIM100_F1_flyer_8585_page_52.jpg,,99.54,merged_cleansed_output.xlsx,8585,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/25/2025 21:57,العناية الشخصية,diva,diva hand cleanser 500ml pump + economical refill,ديفا منظف اليدين 500 مل مضخة + اقتصادي,offer أسواق فتح الله الفئة العناية الشخصية offer أسواق فتح الله offer أسواق فتح الله,500 مل,126,100,20,جنيه,,SIM100_F1_flyer_8585_page_52.jpg,,99.54,merged_cleansed_output.xlsx,8585,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/26/2025 15:48,أجهزة تليفزيون والكترونيات,itel,s25 ultra,اي تل موبايل s25 ultra,"8G RAM 256G ROM, تقسيط 1046 EGP 12 شهر offer أسواق فتح الله الفئة أجهزة تليفزيون والكترونيات offer أسواق فتح الله",عبوة,12555,10110,19,جنيه,,20251226_F1_flyer_8732_page_9.jpg,,10044,merged_cleansed_output.xlsx,8732,,,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/18/2025 19:23,مستلزمات منزلية,binca,dish drainer aluminum + wood,صفاية اطباق binca الومنيوم + خشب kw-25- (580321-43),offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,,1299,1039,20,جنيه,,20251218_F1_flyer_8293_page_43.jpg,,1039.2,merged_cleansed_output.xlsx,8293,Home Supplies,مستلزمات منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/18/2025 19:23,مطبخ (أدوات طهي),trueval,cookware set 7 pcs,تروفال طقم 7 ق,الفئة مطبخ (أدوات طهي) offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,طقم,1300,1049,19,جنيه,,20251218_F1_flyer_8293_page_15.jpg,,1053,merged_cleansed_output.xlsx,8293,Cookware Set,أدوات طهي,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,أطعمة -حبوب وبقوليات,الضحى,al-duha golden parboiled rice 1kg,الضحى ارز مغلى ذهبي 1ك,الفئة أطعمة -حبوب وبقوليات offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,1 كجم,112,105,6,جنيه,,page_28.jpg,flyer_8585,105.28,merged_cleansed_output.xlsx,8585,Rice,أطعمة -حبوب,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,أطعمة -حلويات وبسكويت,cadbury,cadbury choco delight double choco biscuits,كادبوري ديلايت بسكويت دبل شوكو 34 جم,offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,عبوة,120,105,12,جنيه,,page_37.jpg,flyer_8585,104.4,merged_cleansed_output.xlsx,8585,Biscuits,أطعمة -حلويات وبسكويت,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/18/2025 19:23,مطبخ (أدوات طهي),الصفوه,large solitaire bowl,الصفوه بولة سوليتير كبيره,الفئة مطبخ (أدوات طهي) offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,,135,105,22,جنيه,,SIM98_F1_flyer_8293_page_36.jpg,,105.3,merged_cleansed_output.xlsx,8293,Kitchenware,مطبخ (أدوات),merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:24,أجهزة منزلية,unionaire,unionaire washing machine 10 kg top automatic silver,يونيون اير غساله 10 كيلو فوق اوتوماتيك سيلفر,قيمة الخصم 2300 offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,kg,12859,10559,17,جنيه,,page_9.jpg,flyer_8562,10544.38,merged_cleansed_output.xlsx,8562,APPLIANCES,أجهزة منزلية,merged_cleansed_output.xlsx,,,,
أسواق فتح الله,,,12/15/2025 13:33,أطعمة -زيوت ودهون,la vache qui rit,classic cheese,لافاش كلاسيك مثلثات,24 ق الفئة أطعمة -زيوت ودهون offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله offer أسواق فتح الله,قطعة,114,106,7,جنيه,,page_11.jpg,flyer_8585,106.02,merged_cleansed_output.xlsx,8585,Grocery,أطعمة -زيوت,merged_cleansed_output.xlsx,,,,
