 اسم السوبر ماركت	فترة سريان العرض	الفرع / الموقع	تاريخ تعديل ملف الفلاير	الفئة	اسم العلامة التجارية	اسم المنتج (الأساسي)	الاسم بالعربية	العبارة الترويجية	الوحدة	السعر الأصلي	السعر الحالي	الخصم %	العملة	قيود العرض	اسم ملف الفلاير	اسم المجلد الفرعي	الاحداثيات	الموثوقية	السعر المحسوب	solution_key	end_date	status	standard_supermarket_name	clean_name	matched_sku	matched_image	matched_name	matched_price	match_score	confidence	needs_review	match_method
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:30	أطعمة - أسماك		Abu El Sayed Smoked Herring	رنجة مدخنة ابو السيد	الفئة أطعمة - أسماك		199	185	7	EGP		page_2.jpg	flyer_9835	[200, 665, 447, 944]	0.95	171.14	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	abu el sayed herrin	6224009295487	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224009295487_1_.jpg	Sea Cube Herring Fillet - 400 g	199	74.58823529	Review	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:30	أطعمة - أسماك	NOUR	Nour Herring Fillet Jar	نور رنجة فيليه برطمان	الفئة أطعمة - أسماك		230	205	10	EGP		page_2.jpg	flyer_9835	[199, 206, 447, 333]	0.95	172.5	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	nour herrin	6225000076259	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6225000076259.jpg	Nour Herring Fillet - 500 g	205	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:30	أطعمة - أسماك	Food House	Food House Fresh Smoked Salmon	فود هاوس سالمون مدخن فريش	الفئة أطعمة - أسماك		479.95	409.95	14	EGP		page_2.jpg	flyer_9835	[467, 124, 713, 333]	0.95	143.985	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	food house salmon	6225000070813	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6225000070813.jpg	Food House Fresh Smoked Salmon - 100 g	209.95	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:30	أطعمة - أسماك	NOUR	Nour Herring Vacuum Pack	نور رنجة فاكيوم	بابلاش الفئة أطعمة - أسماك		282	252	10	EGP		page_2.jpg	flyer_9835	[199, 360, 447, 639]	0.95	197.4	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	nour herrin pack	6224008143000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224008143000-removebg-preview.png	Nour Herring Fillet, 200 g - 2 Pieces	148	82.35294118	Fair	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:30	أطعمة - أسماك		Fesikh Fillet	فسيخ فيليه	الفئة أطعمة - أسماك		262.5	237.5	9	EGP		page_2.jpg	flyer_9835	[733, 55, 974, 333]	0.95	196.875	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	fesikh	2000576000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/f/e/fesikhh_fillet.jpg	Fillet Fesikh Salad	950	66.66666667	Review	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:30	أطعمة - أسماك		Greek Herring Fillet	رنجة فيليه يوناني	الفئة أطعمة - أسماك			198.75	0	EGP		page_2.jpg	flyer_9835	[733, 360, 974, 639]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	reek herrin	2005429000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2005429000000_2.jpg	Greek Herring Fillet	795	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:30	أطعمة - أسماك	Mido	Mido Fresh Smoked Salmon	ميدو سالمون مدخن فريش	الفئة أطعمة - أسماك		477.25	397.25	16	EGP		page_2.jpg	flyer_9835	[467, 360, 713, 639]	0.95	95.45	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	mido salmon	6223001790013	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6223001790013.jpg	"Mido Fresh Smoked Salmon - 200 g "	397.25	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:30	أطعمة - أسماك		Smoked Salmon	سيمون فيميه	الفئة أطعمة - أسماك			179.5	0	EGP		page_2.jpg	flyer_9835	[733, 665, 974, 944]	0.95		9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	salmon	154851	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/1/5/154851_new_sticker.jpg	Smoked Almond - 250 g	240	83.33333333	Fair	TRUE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:30	أطعمة - أسماك	NOUR	Nour Smoked Anchovy	نور انشوجة مدخنة	الفئة أطعمة - أسماك		198	178	10	EGP		page_2.jpg	flyer_9835	[467, 665, 713, 944]	0.95	158.4	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	nour anchovy	2005421000000	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2005421000000_1.jpg	Nour Smoked Anchovy Fillet	2500	100	Excellent	FALSE	auto
سعودي	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦		2026-04-05 22:06:32	أطعمة - أسماك	SeaStar	Sardines with Paprika	سردين بالبابريكا ٤٥٠ جم	الفئة أطعمة - أسماك	450 جم	154.95	131.45	15	EGP		page_3.jpg	flyer_9835	[289, 810, 460, 970]	0.95	131.7075	9835	١٤ أبريل ٢٠٢٦	ينتهي في الثلاثاء، ١٤ أبريل ٢٠٢٦	سعودي	sardines paprika	6224007280195	https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/6/2/6224007280195.jpg	Sea Star Sardines Paprika - 415 g	131.45	88.04878049	Good	FALSE	auto
