category,id,sku,name,url_key,price,regular_price,image
Meat & Poultry,6765,2000722000000,Seoudi Rice Kofta,seoudi-rice-kofta,415,415,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000722000000_copy_1_.jpg
Meat & Poultry,6741,2000734000000,Seoudi Shish Tawook,seoudi-shish-tawook,257,257,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000734112398_copy.jpg
Meat & Poultry,169509,2004356000000,Seoudi Chicken Mushroom Piccata,seoudi-chicken-mushroom-piccata,390,390,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2004356110091_copy.jpg
Meat & Poultry,3644749,2000721000000,Seoudi Kofta Beef Skewers,seoudi-kofta-beef-skewers,425,425,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000721000000.jpg
Meat & Poultry,20832,2000902000000,Seoudi Fresh Roast Chicken Breasts,seoudi-fresh-roast-chicken-breasts,639,639,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000902039229_copy.jpg
Meat & Poultry,1506709,2007763000000,Seoudi Marinated Shish Tawook,seoudi-marinated-shish-tawook-grill,307,307,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/7/7/7763_copy.jpg
Meat & Poultry,119666,2003842000000,Seoudi Marinated Half Chicken with Lemon & Coriander,seoudi-marinated-half-chicken-with-lemon-and-coriander,218,218,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2003842000000.jpg
Meat & Poultry,3644731,2000715000000,Baladi Beef Escalopes,baladi-beef-escalopes,540,540,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000715000000_55.jpg
Meat & Poultry,17706,2000796000000,Seoudi Low Fat Hawawshi - 1 Piece,seoudi-low-fat-hawawshi-1-piece,210,210,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2000796000000_1.jpg
Meat & Poultry,1506700,2007760000000,Seoudi Tandoori Shish Tawook,seoudi-tandoori-shish-tawook,330,330,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/7/7/7760_copy.jpg
Meat & Poultry,118187,2003840000000,Seoudi Marinated Chicken Thigh with Lemon & Coriander,seoudi-marinated-chicken-thigh-with-lemon-and-coriander,184,184,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2003840000000.jpg
Meat & Poultry,2210951,2007788000000,Marinated Curry Shish Tawook,marinated-curry-shish-tawook,321,321,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/2/0/2007788000000.jpg
